inlier_index,moving_keypoint_index,reference_keypoint_index,moving_x_px,moving_y_px,reference_x_px,reference_y_px,projected_reference_x_px,projected_reference_y_px,reprojection_error_px,descriptor_distance
141,2483,5808,1036.9283447265625,78.19377136230469,1036.76318359375,77.75210571289062,1036.7413330078125,78.13236999511719,0.38089154945088355,116.07756042480469
142,9,2886,1138.1995849609375,75.96162414550781,1138.0517578125,76.19953918457031,1137.9849853515625,75.91407775878906,0.2931668247750998,116.94015502929688
143,5082,976,939.4393310546875,100.18746185302734,939.4381103515625,100.84925079345703,939.2787475585938,100.11259460449219,0.7536967828795664,118.91593933105469
144,432,12994,1115.3785400390625,32.105072021484375,1115.6719970703125,31.963417053222656,1115.16064453125,32.05699157714844,0.519843833024498,120.30377960205078
145,4073,9946,973.4496459960938,53.921287536621094,973.50244140625,52.204200744628906,973.2725830078125,53.851898193359375,1.6636531386936244,120.47821044921875
146,3950,9978,976.4259033203125,124.53689575195312,974.8182373046875,124.18479919433594,976.262451171875,124.4665756225586,1.4714454287123908,120.97520446777344
147,5077,970,939.4393310546875,100.18746185302734,939.4381103515625,100.84925079345703,939.2787475585938,100.11259460449219,0.7536967828795664,121.83595275878906
148,4684,9209,954.6397705078125,59.75466537475586,954.9664306640625,58.76593780517578,954.468017578125,59.68248748779297,1.0433019337370217,122.3233413696289
149,165,3130,1129.566162109375,47.65253829956055,1129.3739013671875,46.7952995300293,1129.34765625,47.60549545288086,0.810620897572645,123.98789978027344
150,5449,759,929.6104125976562,108.63147735595703,929.5989990234375,108.1792221069336,929.4534912109375,108.55528259277344,0.4032294787197911,126.18241119384766
151,3527,7021,996.682861328125,15.469046592712402,996.3606567382812,16.942699432373047,996.4926147460938,15.404444694519043,1.5439043216327022,126.52667999267578
152,430,3584,1115.4483642578125,82.67679595947266,1115.578369140625,82.23885345458984,1115.24169921875,82.62580871582031,0.5129142330733852,128.67788696289062
153,402,13032,1117.232177734375,103.42182922363281,1116.885498046875,103.2881851196289,1117.0296630859375,103.37010192871094,0.16581291294128483,129.96153259277344
154,1728,5052,1059.773193359375,83.42996978759766,1059.4564208984375,83.2156982421875,1059.5816650390625,83.3714599609375,0.199869476881411,130.27662658691406
155,47,13487,1134.99072265625,84.31314849853516,1134.014892578125,84.43412780761719,1134.7789306640625,84.26470184326172,0.7825978240199875,130.5679931640625
156,1409,4628,1074.194091796875,105.83277893066406,1074.1898193359375,105.27083587646484,1074.003662109375,105.77536010742188,0.5377724543189487,135.628173828125
157,4077,9898,973.1115112304688,43.543758392333984,972.7244262695312,43.74959182739258,972.9324340820312,43.47463607788086,0.3447722643290585,137.4554443359375
158,1260,4506,1079.2869873046875,117.54371643066406,1079.2344970703125,117.18639373779297,1079.0977783203125,117.48656463623047,0.329840241435666,138.93524169921875
159,251,3314,1123.720947265625,117.05671691894531,1123.0419921875,116.23795318603516,1123.519775390625,117.00524139404297,0.9038849392130754,140.1962890625
160,3168,11243,1010.0838623046875,32.510467529296875,1010.1057739257812,30.744598388671875,1009.8939208984375,32.44708251953125,1.7156147356043294,141.68980407714844
161,4359,7925,965.1373901367188,101.6300048828125,965.2301635742188,101.55812072753906,964.9717407226562,101.55848693847656,0.25842311104106896,142.68496704101562
162,740,8322,1100.8695068359375,80.39142608642578,1100.3382568359375,80.45152282714844,1100.6663818359375,80.33858489990234,0.3470172777191994,145.81495666503906
163,3701,10397,989.1039428710938,48.59360885620117,989.2942504882812,48.790306091308594,988.9222412109375,48.52659606933594,0.455997673369764,146.4650115966797
164,4560,31,959.6228637695312,67.6852798461914,959.5510864257812,68.33274841308594,959.4515991210938,67.61361694335938,0.7259805744956743,147.74978637695312
165,1995,5315,1051.4403076171875,50.49751281738281,1052.03857421875,50.25284957885742,1051.2437744140625,50.439247131347656,0.8163643654065492,155.00645446777344
166,3416,10864,1001.70458984375,127.43942260742188,1002.0924072265625,127.88258361816406,1001.5361938476562,127.37224578857422,0.7548629168165436,155.6374053955078
167,2128,12574,1047.711669921875,122.00366973876953,1047.906982421875,122.44890594482422,1047.5313720703125,121.9423828125,0.6305940213643346,157.25775146484375
168,3228,6732,1008.0845947265625,29.697093963623047,1007.9981689453125,29.68950653076172,1007.89453125,29.6335391998291,0.11778418408855951,158.28456115722656
169,11541,13704,1144.412841796875,116.03583526611328,1144.2384033203125,115.698486328125,1144.20556640625,115.98704528808594,0.2904213082728021,159.5775604248047
170,2816,11610,1025.4732666015625,97.26028442382812,1024.478271484375,96.79658508300781,1025.2930908203125,97.19676208496094,0.9077842161603273,160.20924377441406
171,1761,5098,1058.7930908203125,123.60469055175781,1058.214599609375,124.17938232421875,1058.6103515625,123.54476165771484,0.7479057418927297,161.75289916992188
172,1177,4398,1082.35107421875,121.98689270019531,1082.6893310546875,121.5560073852539,1082.1619873046875,121.92998504638672,0.6464910839991772,164.82717895507812
173,12697,14275,1293.8480224609375,24.34391212463379,1293.5380859375,24.494680404663086,1293.5704345703125,24.32254409790039,0.17514948515693302,64.75337982177734
174,12832,1919,1307.21826171875,108.60372924804688,1307.247802734375,108.5982894897461,1306.95703125,108.5763168334961,0.2916005036832439,97.74967956542969
175,12232,8093,1241.6971435546875,124.48896026611328,1241.8756103515625,122.06182098388672,1241.462158203125,124.45203399658203,2.4257083347149524,104.3455810546875
176,12392,13989,1259.2117919921875,10.068794250488281,1259.300048828125,10.475625038146973,1258.9429931640625,10.043766021728516,0.5603489602926287,107.54998779296875
177,12557,2210,1280.19140625,26.727994918823242,1280.44482421875,27.809431076049805,1279.9193115234375,26.70438003540039,1.2236426747114377,114.67781066894531
178,11830,14488,1182.4263916015625,103.04459381103516,1182.9246826171875,102.87765502929688,1182.2049560546875,103.00138092041016,0.730283794767378,117.63502502441406
179,11566,2664,1148.13720703125,85.30846405029297,1147.1075439453125,85.02255249023438,1147.921875,85.26172637939453,0.8487279987631201,120.25389862060547
180,12433,2338,1264.7130126953125,5.723984718322754,1264.6173095703125,5.981863021850586,1264.4412841796875,5.700230121612549,0.33211749222402004,127.4754867553711
181,11956,1101,1201.731689453125,55.069881439208984,1201.037841796875,55.61028289794922,1201.492919921875,55.03250503540039,0.7354749202420217,130.44921875
182,13631,14451,1310.3394775390625,90.85688018798828,1311.2470703125,94.06067657470703,1310.0726318359375,90.8313980102539,3.436210962974608,130.9083709716797
183,13073,1599,1331.353271484375,18.183534622192383,1331.2525634765625,18.16575050354004,1331.060302734375,18.168373107910156,0.19227862866208117,137.15684509277344
184,12405,2395,1260.4879150390625,35.43915939331055,1260.05322265625,35.43436050415039,1260.224853515625,35.411827087402344,0.17310374565601458,144.62364196777344
185,12823,1932,1306.7730712890625,24.444852828979492,1306.6280517578125,24.723167419433594,1306.4908447265625,24.425373077392578,0.3278829662792501,146.34547424316406
186,12777,14360,1302.0458984375,111.4625244140625,1302.08935546875,111.54977416992188,1301.7872314453125,111.43421173095703,0.3234711777540099,152.32859802246094
187,12748,2022,1299.6280517578125,76.25208282470703,1298.6275634765625,77.14507293701172,1299.361328125,76.2264633178711,1.175693068651122,158.0917510986328
188,14824,10398,1242.579833984375,53.103641510009766,1243.437255859375,52.19025421142578,1242.3272705078125,53.072166442871094,1.4176870827711512,158.142333984375
189,13074,1594,1331.353271484375,18.183534622192383,1331.2525634765625,18.16575050354004,1331.060302734375,18.168373107910156,0.19227862866208117,160.25604248046875
190,11670,14028,1162.0008544921875,29.118024826049805,1162.321044921875,29.167875289916992,1161.7684326171875,29.076936721801758,0.5600448039781099,160.48675537109375
191,12912,1785,1318.5382080078125,27.696399688720703,1318.0482177734375,27.513652801513672,1318.25244140625,27.67828941345215,0.2623213795894558,160.611328125
192,12876,1838,1314.0794677734375,69.65760040283203,1313.2679443359375,69.29772186279297,1313.805908203125,69.63456726074219,0.634720367184556,162.0617218017578
193,12774,1971,1302.0184326171875,100.54446411132812,1302.8013916015625,101.95932006835938,1301.7569580078125,100.51705169677734,1.7807244557818103,164.42019653320312
194,12972,1733,1323.9686279296875,71.68059539794922,1322.8984375,71.2140884399414,1323.6920166015625,71.65872955322266,0.9096557096268533,165.27854919433594
195,12079,8403,1221.1121826171875,7.16933536529541,1219.9287109375,7.946351528167725,1220.855712890625,7.13887357711792,1.229371084143903,165.89755249023438
196,12853,14421,1310.1746826171875,64.82571411132812,1308.109375,65.93718719482422,1309.9013671875,64.80260467529297,2.1209699417216914,168.3419189453125
197,12168,8207,1233.021484375,26.180543899536133,1233.103759765625,25.865434646606445,1232.765625,26.15007972717285,0.4419931465700906,168.52003479003906
198,12198,172,1236.35888671875,49.89055252075195,1237.572265625,48.06476593017578,1236.1075439453125,49.85847473144531,2.31577219576934,169.3546600341797
199,12906,14501,1318.21142578125,10.254175186157227,1318.125244140625,10.2064790725708,1317.92138671875,10.237961769104004,0.2062741104320256,170.51979064941406
200,13710,13941,1254.165283203125,51.157894134521484,1254.17041015625,50.671207427978516,1253.9083251953125,51.12822341918945,0.5268321772368565,170.6516876220703
201,12875,1839,1314.0794677734375,69.65760040283203,1313.2679443359375,69.29772186279297,1313.805908203125,69.63456726074219,0.634720367184556,170.6575469970703
202,12870,1830,1313.80419921875,83.20770263671875,1313.4365234375,83.21003723144531,1313.5341796875,83.18336486816406,0.10123318688586996,173.0086669921875
203,12469,14058,1268.629150390625,40.46705627441406,1268.29736328125,41.11064529418945,1268.364501953125,40.44042205810547,0.6735776031371791,175.4023895263672
204,11933,1200,1198.2025146484375,66.8039321899414,1198.1689453125,66.24229431152344,1197.9676513671875,66.76519012451172,0.5603028499482644,176.18455505371094
205,12776,14359,1302.0458984375,111.4625244140625,1302.08935546875,111.54977416992188,1301.7872314453125,111.43421173095703,0.3234711777540099,177.1044921875
206,11721,2216,1167.662353515625,25.700193405151367,1166.9696044921875,25.207040786743164,1167.427490234375,25.66019630432129,0.6442121358761383,183.1638641357422
207,12416,2370,1261.62109375,30.95591163635254,1261.3497314453125,31.290363311767578,1261.3565673828125,30.92917251586914,0.36125547896641047,183.85592651367188
208,3420,4191,202.82635498046875,183.64093017578125,202.49404907226562,182.3389434814453,202.70889282226562,183.48280334472656,1.1638613421451296,89.17398834228516
209,3718,4519,219.71206665039062,233.80799865722656,219.09835815429688,231.93324279785156,219.6010284423828,233.66055297851562,1.7989657803166006,92.56889343261719
